timestamp,ip,mac,packet_rate,port_count,unique_ports,scan_score,label
2026-01-21 13:36:00,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-21 13:36:00,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:36:06,192.168.10.20,d0:39:fa:e8:c3:30,1.49,9,0,0,0
2026-01-21 13:36:06,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:36:12,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-21 13:36:12,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:36:18,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-21 13:36:18,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:36:24,192.168.10.20,d0:39:fa:e8:c3:30,0.5,3,0,0,0
2026-01-21 13:36:24,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:36:30,192.168.10.20,d0:39:fa:e8:c3:30,0.5,3,0,0,0
2026-01-21 13:36:30,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:36:36,192.168.10.20,d0:39:fa:e8:c3:30,1.49,9,0,0,0
2026-01-21 13:36:36,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:36:42,192.168.10.20,d0:39:fa:e8:c3:30,0.5,3,0,0,0
2026-01-21 13:36:42,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:36:49,192.168.10.20,d0:39:fa:e8:c3:30,1.16,7,0,0,0
2026-01-21 13:36:49,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:36:55,192.168.10.20,d0:39:fa:e8:c3:30,1.99,12,0,0,0
2026-01-21 13:36:55,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:37:01,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-21 13:37:01,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 13:37:07,192.168.10.20,d0:39:fa:e8:c3:30,0.5,3,0,0,0
2026-01-21 13:37:07,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-21 13:37:13,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-21 13:37:13,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:37:19,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-21 13:37:19,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-21 13:37:25,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-21 13:37:25,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:37:31,192.168.10.20,d0:39:fa:e8:c3:30,0.99,6,0,0,0
2026-01-21 13:37:31,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 13:37:37,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-21 13:37:37,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:37:43,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-21 13:37:43,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:37:49,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-21 13:37:49,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:37:55,192.168.10.20,d0:39:fa:e8:c3:30,2.31,14,0,0,0
2026-01-21 13:37:56,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-21 13:38:02,192.168.10.20,d0:39:fa:e8:c3:30,2.81,17,0,0,0
2026-01-21 13:38:02,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:38:08,192.168.10.20,d0:39:fa:e8:c3:30,1.33,8,0,0,0
2026-01-21 13:38:08,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:38:14,192.168.10.20,d0:39:fa:e8:c3:30,1.32,8,0,0,0
2026-01-21 13:38:14,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:38:20,192.168.10.20,d0:39:fa:e8:c3:30,1.16,7,0,0,0
2026-01-21 13:38:20,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:38:26,192.168.10.20,d0:39:fa:e8:c3:30,0.99,6,0,0,0
2026-01-21 13:38:26,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:38:32,192.168.10.20,d0:39:fa:e8:c3:30,1.16,7,0,0,0
2026-01-21 13:38:32,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:38:38,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-21 13:38:38,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:38:44,192.168.10.20,d0:39:fa:e8:c3:30,1.49,9,0,0,0
2026-01-21 13:38:44,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:38:50,192.168.10.20,d0:39:fa:e8:c3:30,1.15,7,0,0,0
2026-01-21 13:38:50,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:38:56,192.168.10.20,d0:39:fa:e8:c3:30,1.49,9,0,0,0
2026-01-21 13:38:56,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:39:02,192.168.10.20,d0:39:fa:e8:c3:30,2.47,15,0,0,0
2026-01-21 13:39:02,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 13:39:09,192.168.10.20,d0:39:fa:e8:c3:30,1.98,12,0,0,0
2026-01-21 13:39:09,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 13:39:15,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-21 13:39:15,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:39:21,192.168.10.20,d0:39:fa:e8:c3:30,1.49,9,0,0,0
2026-01-21 13:39:21,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:39:27,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-21 13:39:27,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:39:33,192.168.10.20,d0:39:fa:e8:c3:30,1.65,10,0,0,0
2026-01-21 13:39:33,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:39:39,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-21 13:39:39,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:39:45,192.168.10.20,d0:39:fa:e8:c3:30,0.82,5,0,0,0
2026-01-21 13:39:45,192.168.10.1,e4:fd:45:45:f8:c1,0.16,1,0,0,0
2026-01-21 13:39:51,192.168.10.20,d0:39:fa:e8:c3:30,0.33,2,0,0,0
2026-01-21 13:39:51,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:39:57,192.168.10.20,d0:39:fa:e8:c3:30,1.49,9,0,0,0
2026-01-21 13:39:57,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-21 13:40:03,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-21 13:40:03,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:40:09,192.168.10.20,d0:39:fa:e8:c3:30,0.99,6,0,0,0
2026-01-21 13:40:09,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-21 13:40:15,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-21 13:40:15,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:40:21,192.168.10.20,d0:39:fa:e8:c3:30,0.99,6,0,0,0
2026-01-21 13:40:21,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:40:28,192.168.10.20,d0:39:fa:e8:c3:30,0.17,1,0,0,0
2026-01-21 13:40:28,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:40:34,192.168.10.20,d0:39:fa:e8:c3:30,0.17,1,0,0,0
2026-01-21 13:40:34,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-21 13:40:46,192.168.10.20,d0:39:fa:e8:c3:30,0.82,5,0,0,0
2026-01-21 13:40:46,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:40:52,192.168.10.20,d0:39:fa:e8:c3:30,0.83,5,0,0,0
2026-01-21 13:40:52,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:40:58,192.168.10.20,d0:39:fa:e8:c3:30,0.5,3,0,0,0
2026-01-21 13:40:58,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-21 13:41:04,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-21 13:41:04,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
2026-01-21 13:41:10,192.168.10.20,d0:39:fa:e8:c3:30,2.15,13,0,0,0
2026-01-21 13:41:10,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-21 13:41:16,192.168.10.20,d0:39:fa:e8:c3:30,0.5,3,0,0,0
2026-01-21 13:41:16,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:13:38,192.168.10.20,d0:39:fa:e8:c3:30,0.75,4,0,0,0
2026-01-22 03:13:38,192.168.10.1,e4:fd:45:45:f8:c1,0.19,1,0,30,0
2026-01-22 03:13:44,192.168.10.20,d0:39:fa:e8:c3:30,0.8,5,0,0,0
2026-01-22 03:13:44,192.168.10.1,e4:fd:45:45:f8:c1,0.32,2,0,0,0
2026-01-22 03:13:50,192.168.10.20,d0:39:fa:e8:c3:30,1.98,12,0,0,0
2026-01-22 03:13:50,192.168.10.1,e4:fd:45:45:f8:c1,0.33,2,0,0,0
2026-01-22 03:13:56,192.168.10.20,d0:39:fa:e8:c3:30,0.5,3,0,0,0
2026-01-22 03:13:56,192.168.10.1,e4:fd:45:45:f8:c1,0.17,1,0,0,0
2026-01-22 03:14:02,192.168.10.20,d0:39:fa:e8:c3:30,0.66,4,0,0,0
2026-01-22 03:14:02,192.168.10.1,e4:fd:45:45:f8:c1,0.5,3,0,0,0
